schema_version,record_type,id,unit_id,segment_id,order,source_anchor,target_anchor,source_line_start,target_line_start,source_char_start,source_char_end,target_char_start,target_char_end,source_raw_tex,target_raw_tex,source_raw_tex_sha256,target_raw_tex_sha256,normalized_symbolic_sha256,math_delimiter,provenance
1.0.0,formula,O007-FREMLIN-V1-S111-FORMULA-0013,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111A,13,111A,111A,31,32,1249,1257,1311,1319,\Sigma,\Sigma,d65d75b1e6562713a3936bb38fdfe6832fb5b96c946de58f7ce0992057665aa8,d65d75b1e6562713a3936bb38fdfe6832fb5b96c946de58f7ce0992057665aa8,d65d75b1e6562713a3936bb38fdfe6832fb5b96c946de58f7ce0992057665aa8,$,"{""basis"":""ordered TeX math atom; reader-text atoms may differ, while normalized symbolic TeX is exact"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,formula,O007-FREMLIN-V1-S111-FORMULA-0014,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111A,14,111A,111A,33,34,1291,1324,1355,1388,\langle E_n\rangle_{n\in\Bbb N},\langle E_n\rangle_{n\in\Bbb N},705523b1e443112bfe7e49097ed775865a0c1b0262504e58a7759405f1523c7b,705523b1e443112bfe7e49097ed775865a0c1b0262504e58a7759405f1523c7b,10e29aed3353023b170869c4aac7aac23b33ba7104f37da4731e0722ee3ab858,$,"{""basis"":""ordered TeX math atom; reader-text atoms may differ, while normalized symbolic TeX is exact"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,formula,O007-FREMLIN-V1-S111-FORMULA-0015,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111A,15,111A,111A,34,35,1328,1336,1398,1406,\Sigma,\Sigma,d65d75b1e6562713a3936bb38fdfe6832fb5b96c946de58f7ce0992057665aa8,d65d75b1e6562713a3936bb38fdfe6832fb5b96c946de58f7ce0992057665aa8,d65d75b1e6562713a3936bb38fdfe6832fb5b96c946de58f7ce0992057665aa8,$,"{""basis"":""ordered TeX math atom; reader-text atoms may differ, while normalized symbolic TeX is exact"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,formula,O007-FREMLIN-V1-S111-FORMULA-0016,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111A,16,111A,111A,34,35,1348,1373,1420,1445,\bigcup_{n\in\Bbb N}E_n,\bigcup_{n\in\Bbb N}E_n,d41c95d5253bd90b2c3675dda316e29081821ee0cae2c548f479997b6d8c1508,d41c95d5253bd90b2c3675dda316e29081821ee0cae2c548f479997b6d8c1508,7333eac12f554528bb5dc98e7c54a06a4edd2fa2f9b896fcdb317f2cfa2b350e,$,"{""basis"":""ordered TeX math atom; reader-text atoms may differ, while normalized symbolic TeX is exact"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,formula,O007-FREMLIN-V1-S111-FORMULA-0017,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111A,17,111A,111A,34,36,1385,1393,1461,1469,\Sigma,\Sigma,d65d75b1e6562713a3936bb38fdfe6832fb5b96c946de58f7ce0992057665aa8,d65d75b1e6562713a3936bb38fdfe6832fb5b96c946de58f7ce0992057665aa8,d65d75b1e6562713a3936bb38fdfe6832fb5b96c946de58f7ce0992057665aa8,$,"{""basis"":""ordered TeX math atom; reader-text atoms may differ, while normalized symbolic TeX is exact"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,formula,O007-FREMLIN-V1-S111-FORMULA-0018,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111BB,18,111Bb,111Bb,49,51,1940,1948,2075,2083,\sigma,\sigma,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,$,"{""basis"":""ordered TeX math atom; reader-text atoms may differ, while normalized symbolic TeX is exact"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,formula,O007-FREMLIN-V1-S111-FORMULA-0019,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111BB,19,111Bb,111Bb,55,57,2241,2244,2392,2395,X,X,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,$,"{""basis"":""ordered TeX math atom; reader-text atoms may differ, while normalized symbolic TeX is exact"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,formula,O007-FREMLIN-V1-S111-FORMULA-0020,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111BB,20,111Bb,111Bb,55,57,2246,2270,2397,2421,"\Sigma=\{\emptyset,X\}","\Sigma=\{\emptyset,X\}",babea4eda3045be925d5084f460ccc5a0004b71cdd61a228f6df00adc3b79875,babea4eda3045be925d5084f460ccc5a0004b71cdd61a228f6df00adc3b79875,babea4eda3045be925d5084f460ccc5a0004b71cdd61a228f6df00adc3b79875,$,"{""basis"":""ordered TeX math atom; reader-text atoms may differ, while normalized symbolic TeX is exact"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,formula,O007-FREMLIN-V1-S111-FORMULA-0021,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111BB,21,111Bb,111Bb,55,58,2276,2284,2437,2445,\sigma,\sigma,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,$,"{""basis"":""ordered TeX math atom; reader-text atoms may differ, while normalized symbolic TeX is exact"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,formula,O007-FREMLIN-V1-S111-FORMULA-0022,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111BB,22,111Bb,111Bb,56,58,2307,2310,2451,2454,X,X,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,$,"{""basis"":""ordered TeX math atom; reader-text atoms may differ, while normalized symbolic TeX is exact"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,formula,O007-FREMLIN-V1-S111-FORMULA-0023,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111BB,23,111Bb,111Bb,58,60,2332,2335,2481,2484,X,X,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,$,"{""basis"":""ordered TeX math atom; reader-text atoms may differ, while normalized symbolic TeX is exact"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,formula,O007-FREMLIN-V1-S111-FORMULA-0024,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111BB,24,111Bb,111Bb,58,60,2337,2346,2486,2495,\Cal PX,\Cal PX,4dce7037e42ad70df46b01d3a234f942e0f6a5c17a8f29c7355c7165171fd0f5,4dce7037e42ad70df46b01d3a234f942e0f6a5c17a8f29c7355c7165171fd0f5,c39454e2973ee84b79dfbb4f77561c81ff2aeca1033a681e58167a2154efe8a6,$,"{""basis"":""ordered TeX math atom; reader-text atoms may differ, while normalized symbolic TeX is exact"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,formula,O007-FREMLIN-V1-S111-FORMULA-0025,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111BB,25,111Bb,111Bb,58,61,2374,2377,2530,2533,X,X,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,$,"{""basis"":""ordered TeX math atom; reader-text atoms may differ, while normalized symbolic TeX is exact"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,formula,O007-FREMLIN-V1-S111-FORMULA-0026,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111BB,26,111Bb,111Bb,59,61,2384,2392,2550,2558,\sigma,\sigma,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,$,"{""basis"":""ordered TeX math atom; reader-text atoms may differ, while normalized symbolic TeX is exact"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,formula,O007-FREMLIN-V1-S111-FORMULA-0027,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111BB,27,111Bb,111Bb,59,61,2415,2418,2564,2567,X,X,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,$,"{""basis"":""ordered TeX math atom; reader-text atoms may differ, while normalized symbolic TeX is exact"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,formula,O007-FREMLIN-V1-S111-FORMULA-0028,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111BB,28,111Bb,111Bb,61,64,2476,2484,2633,2641,\sigma,\sigma,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,$,"{""basis"":""ordered TeX math atom; reader-text atoms may differ, while normalized symbolic TeX is exact"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,formula,O007-FREMLIN-V1-S111-FORMULA-0029,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111BB,29,111Bb,111Bb,62,64,2508,2511,2693,2696,X,X,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,$,"{""basis"":""ordered TeX math atom; reader-text atoms may differ, while normalized symbolic TeX is exact"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,formula,O007-FREMLIN-V1-S111-FORMULA-0030,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111BC,30,111Bc,111Bc,68,70,2681,2693,2902,2914,"(X,\Sigma)","(X,\Sigma)",08fd649fa0cdee933d5b6b1dc561e31b0c0f202e1d9baaad86e34baff551cd3f,08fd649fa0cdee933d5b6b1dc561e31b0c0f202e1d9baaad86e34baff551cd3f,08fd649fa0cdee933d5b6b1dc561e31b0c0f202e1d9baaad86e34baff551cd3f,$,"{""basis"":""ordered TeX math atom; reader-text atoms may differ, while normalized symbolic TeX is exact"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,formula,O007-FREMLIN-V1-S111-FORMULA-0031,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111BC,31,111Bc,111Bc,68,70,2701,2704,2923,2926,X,X,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,$,"{""basis"":""ordered TeX math atom; reader-text atoms may differ, while normalized symbolic TeX is exact"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,formula,O007-FREMLIN-V1-S111-FORMULA-0032,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111BC,32,111Bc,111Bc,68,71,2718,2726,2946,2954,\Sigma,\Sigma,d65d75b1e6562713a3936bb38fdfe6832fb5b96c946de58f7ce0992057665aa8,d65d75b1e6562713a3936bb38fdfe6832fb5b96c946de58f7ce0992057665aa8,d65d75b1e6562713a3936bb38fdfe6832fb5b96c946de58f7ce0992057665aa8,$,"{""basis"":""ordered TeX math atom; reader-text atoms may differ, while normalized symbolic TeX is exact"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,formula,O007-FREMLIN-V1-S111-FORMULA-0033,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111BC,33,111Bc,111Bc,69,71,2732,2740,2969,2977,\sigma,\sigma,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,$,"{""basis"":""ordered TeX math atom; reader-text atoms may differ, while normalized symbolic TeX is exact"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,formula,O007-FREMLIN-V1-S111-FORMULA-0034,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111BC,34,111Bc,111Bc,69,71,2763,2766,2983,2986,X,X,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,$,"{""basis"":""ordered TeX math atom; reader-text atoms may differ, while normalized symbolic TeX is exact"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,formula,O007-FREMLIN-V1-S111-FORMULA-0035,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111C,35,111C,111C,78,81,3117,3142,3399,3424,\bigcup_{n\in\Bbb N}E_n,\bigcup_{n\in\Bbb N}E_n,d41c95d5253bd90b2c3675dda316e29081821ee0cae2c548f479997b6d8c1508,d41c95d5253bd90b2c3675dda316e29081821ee0cae2c548f479997b6d8c1508,7333eac12f554528bb5dc98e7c54a06a4edd2fa2f9b896fcdb317f2cfa2b350e,$,"{""basis"":""ordered TeX math atom; reader-text atoms may differ, while normalized symbolic TeX is exact"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,formula,O007-FREMLIN-V1-S111-FORMULA-0036,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111C,36,111C,111C,79,82,3209,3214,3516,3521,E_n,E_n,da2ce42dc70bb3da5b52ff30fe66a032a0544e48723bc1d5e5234fa42595de11,da2ce42dc70bb3da5b52ff30fe66a032a0544e48723bc1d5e5234fa42595de11,da2ce42dc70bb3da5b52ff30fe66a032a0544e48723bc1d5e5234fa42595de11,$,"{""basis"":""ordered TeX math atom; reader-text atoms may differ, while normalized symbolic TeX is exact"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,formula,O007-FREMLIN-V1-S111-FORMULA-0037,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111C,37,111C,111C,81,85,3237,3358,3557,3678,"\eqalign{\bigcup_{n\in\Bbb N}E_n
&=\{x:\exists\enskip n\in\Bbb N,\,x\in E_n\}\cr
&=E_0\cup E_1\cup E_2\cup\ldots.\cr}","\eqalign{\bigcup_{n\in\Bbb N}E_n
&=\{x:\exists\enskip n\in\Bbb N,\,x\in E_n\}\cr
&=E_0\cup E_1\cup E_2\cup\ldots.\cr}",a2fa36ddf43b3a3c358bb4fe3c77cc7ad989341b34d523e87f4153ebb7a446a0,a2fa36ddf43b3a3c358bb4fe3c77cc7ad989341b34d523e87f4153ebb7a446a0,f1eebd9ac88505f1baeb667f0c42c55e2e09e273824fb08ea70855cc75bbbd83,$$,"{""basis"":""ordered TeX math atom; reader-text atoms may differ, while normalized symbolic TeX is exact"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,formula,O007-FREMLIN-V1-S111-FORMULA-0038,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111C,38,111C,111C,85,89,3379,3387,3708,3716,\Bbb N,\Bbb N,83cf45f141bcc461fe374a41478f34683805f99cdd68774c39adbb540a1867e8,83cf45f141bcc461fe374a41478f34683805f99cdd68774c39adbb540a1867e8,7a5c8f64045b98184eb0aeb0e75d1f7fc2976b2635d0b631b4b1da04dff5a457,$,"{""basis"":""ordered TeX math atom; reader-text atoms may differ, while normalized symbolic TeX is exact"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,formula,O007-FREMLIN-V1-S111-FORMULA-0039,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111C,39,111C,111C,86,90,3419,3439,3746,3766,"\{0,1,2,3,\ldots\}","\{0,1,2,3,\ldots\}",065acf35aa17a243c637ea3de729f1216a76374a6e609787a55f8a0b52db2471,065acf35aa17a243c637ea3de729f1216a76374a6e609787a55f8a0b52db2471,065acf35aa17a243c637ea3de729f1216a76374a6e609787a55f8a0b52db2471,$,"{""basis"":""ordered TeX math atom; reader-text atoms may differ, while normalized symbolic TeX is exact"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
