schema_version,record_type,id,unit_id,rights_id,order,source_anchor,semantic_anchor,target_anchor,anchor_kind,anchor_is_synthesized,segment_kind,source_label,target_label,source_line_start,source_line_end,target_line_start,target_line_end,source_char_start,source_char_end,target_char_start,target_char_end,source_segment_sha256,target_segment_sha256,provenance
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3FC,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,17,2A3Fc,2A3Fc,2A3Fc,explicit,false,exposition,2A3Fc,2A3Fc,247,287,252,292,10517,11935,11321,12809,d7a236cfdb689881fa7d5cea4b0abd2f0f4873672ba20f5651c94a4c140ab801,a1aac33a979d4a9ca42e7615960ac6b51c2942226378847569d267d06ce06ebd,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3FD,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,18,2A3Fd,2A3Fd,2A3Fd,explicit,false,exposition,2A3Fd,2A3Fd,288,293,293,298,11935,12132,12809,13022,acd5fee37f0c8943dee80ebccdb204605cd9ff1aee4ab0cdce63fb9b629343cf,8aacdcfd0b25970e5291b08eb84e64cb89f278f9932b65a563be296497982974,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3FE,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,19,2A3Fe,2A3Fe,2A3Fe,explicit,false,exposition,2A3Fe,2A3Fe,293,304,298,309,12132,12688,13022,13590,30ab4013827c30661bf9e230e0fef560bf0d1023144ee7af1a6f10f285e310ed,68a870f77edc24f39693d16b9bf92d3f7faf812fcc91ba0ef4bca24c090172fa,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3FF,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,20,2A3Ff,2A3Ff,2A3Ff,explicit,false,exposition,2A3Ff,2A3Ff,305,311,310,315,12688,12969,13590,13899,47d3beda26fb2331ef7788040e96e840c8482cc0c526d9326d8ec5b3924403d5,171b3af460ea461a3201b43cc8b329a4e739716d1adca78be892ace6b3c781f1,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3G,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,21,2A3G,2A3G,2A3G,explicit,false,exposition,2A3G,2A3G,312,330,316,337,12969,13711,13899,14689,d4bb5e415c81a707ddffc399bd4152037798e87526fb634f0d7f4e38a5a5fb14,502ba7f5fb973b6c40b8e81bc556f9f97bf6bf3e32f67a5760bc294779845fe9,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3H,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,22,2A3H,2A3H,2A3H,explicit,false,exposition,2A3H,2A3H,331,376,338,383,13711,15694,14689,16734,3228b3184659f22dcc148edf30c897c738f47fd58d75d6cbc4ec6d28385048f0,15432f3818b7ced2eb4f1f50a6dcdb4c10d4072965a37845f28b1ba87ff558c0,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3I,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,23,2A3I,2A3I,2A3I,explicit,false,exposition,2A3I,2A3I,377,386,384,393,15694,15972,16734,17018,e7324f21001798d3c782fe3b85f4ddc7043c18d023b2fcaf73d75b66ea2a4295,10ea3078250c23f27be4a64f566dca8bdab3228a710f3220839af33858abdc6f,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3IB,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,24,2A3Ib,2A3Ib,2A3Ib,explicit,false,exposition,2A3Ib,2A3Ib,387,403,394,410,15972,16887,17018,17972,665961aaf54fc195fb0ecca59a92232464bb61c088ff83a4de34e091fc3f43c3,45f97781c4152cacf8c37872e21dfe7b320b9a5e84d7a6525434f33b66c4e0bc,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3J,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,25,2A3J,2A3J,2A3J,explicit,false,exposition,2A3J,2A3J,404,465,411,473,16887,18997,17972,20180,514331b50919c85e73d118a45cd06fba2ba47d33d216c44082f1df0177398765,bfd42e5a2bbdbc52af65c7191c9a1496c907c57fcf491f5c669158769aa70768,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3K,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,26,2A3K,2A3K,2A3K,explicit,false,exposition,2A3K,2A3K,466,469,474,477,18997,19150,20180,20359,efb4040f5570cea8e64fa12abad7ad14da25b6e7012277b635e4ef4d5f5a8524,f1bfc434512fef87715a5c2a01032bcf8b8f1d81be124b6b5f48385952df04b0,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3KA,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,27,2A3Ka,2A3Ka,2A3Ka,explicit,false,exposition,2A3Ka,2A3Ka,470,480,478,488,19150,19613,20359,20850,2dbacb3103d6b3729fd42ab6a415199d342c16d5d881f4c3ea3d997253d06515,30eaa3afa7044f2311047035b3b3daf331ed5dad1349a63c425a299cf9e9364a,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3KB,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,28,2A3Kb,2A3Kb,2A3Kb,explicit,false,exposition,2A3Kb,2A3Kb,481,486,489,494,19613,19841,20850,21098,310a839ce69d401000fbc53e1fe3bdfcdd1f1d300afbd8d6d033b254660422a8,2531c45af06c02c67d5da877dfc42e29a35049a0ee950126686bffe064d46103,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3L,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,29,2A3L,2A3L,2A3L,explicit,false,exposition,2A3L,2A3L,487,512,495,521,19841,21129,21098,22521,544cf1e389a200b4b02a9129092b4e326facbb62f68e8f1c39f8cfc47b00f9e0,c56c8d5b6bbdbae975a83c4a1efeeb60aadb0a17d6d40d829da69e7c77d937fd,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3M,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,30,2A3M,2A3M,2A3M,explicit,false,exposition,2A3M,2A3M,513,519,522,529,21129,21509,22521,22941,ace1669d05d2be8e6a034c10e4bfa947911e0c9141d8a80c7d13d7dee4629bcd,39f311ac36a776c001ddd449ac0da51f0555dfef8d83c3315bd0232c8712ab2f,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3MB,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,31,2A3Mb,2A3Mb,2A3Mb,explicit,false,exposition,2A3Mb,2A3Mb,520,530,530,541,21509,22174,22941,23680,741693d9f826662603c363ea7e85a6521797172d9efde49ed9f231f74f9d70f4,bc69fbd4eae84bea7e89d64cb6063e4c472680e4442e2e7a3e7ce4d25a400313,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3MC,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,32,2A3Mc,2A3Mc,2A3Mc,explicit,false,exposition,2A3Mc,2A3Mc,531,548,542,560,22174,23300,23680,24849,2a22576d67082c322c0a29b5924e10db71729467dc72a594fe31c06c3bdec6b8,ab9af0ae3c1134159333f01154b8444f7477ff9c688bfd17e48aa79f39c18987,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3MD,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,33,2A3Md,2A3Md,2A3Md,explicit,false,exposition,2A3Md,2A3Md,549,558,561,571,23300,23855,24849,25469,f506e632c633ec46537c7fa083053577fff3ced1e3747d5d18b55a43009173e9,15d6100e0bdaa40921075160bc2fa647d52ce2f475e72ee9abec0924cbf1971d,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3N,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,34,2A3N,2A3N,2A3N,explicit,false,exposition,2A3N,2A3N,559,561,572,574,23855,23976,25469,25597,93d53ab96e1700fc51beca95464416a53a6db8dfb2c337a0a24b019b7076162a,1bbfca2a93fcaa315140546ddb1c4d37fe8c58e64b772a525864de9ecac91868,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3NA,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,35,2A3Na,2A3Na,2A3Na,explicit,false,exposition,2A3Na,2A3Na,562,571,575,585,23976,24539,25597,26241,5a10b582f60b722ffb65b16e320a1fdc82226c7f80c29eb66a22252ba5a0a345,eccd7c0c059ecfbfe2c4fe670a6572dc02865f754680c63327c7fddb2570df6d,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3NB,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,36,2A3Nb,2A3Nb,2A3Nb,explicit,false,exposition,2A3Nb,2A3Nb,572,592,586,606,24539,25105,26241,26836,02737ae7126dc49de01d0832e81f20154d2cb73d9f1cb371476143e41db033c0,b2acc6e9fdcea79ecaecd151a1ce3c4e3eb6d339914de8c9f18a9954bdb082d9,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3O,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,37,2A3O,2A3O,2A3O,explicit,false,exposition,2A3O,2A3O,593,599,607,612,25105,25406,26836,27168,251195245132e7c56ec792942070fc3902a1cb4ca01326594b7d6732f213ef61,43c135a5e4791e118d661a398ea9c78a5a0db0ead73a2c0d28013969421a97e1,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3OB,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,38,2A3Ob,2A3Ob,2A3Ob,explicit,false,exposition,2A3Ob,2A3Ob,600,622,613,635,25406,26323,27168,28174,b16f9abcafc4e73dc39c5a14bb02d25207348c34169860ac2c32bc49db042b95,0a8ee9004fdfc4e45461af3a7d5e828f865f27b7b166a090ef40604998038fb5,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3P,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,39,2A3P,2A3P,2A3P,explicit,false,exposition,2A3P,2A3P,623,637,636,649,26323,27098,28174,29024,7689dbca570070ef541ed4c0d01b2380ae46d0847e24e2e79e4cb9b7e3bbd81a,e07b20898bea0176bf30b56056f70ed7c256a64ff782da3706902d8e37022286,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3Q,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,40,2A3Q,2A3Q,2A3Q,explicit,false,exposition,2A3Q,2A3Q,638,644,650,656,27098,27419,29024,29380,118247499a771cf56c719b64f8ee191efb8555e4d93ce59ca3539f8c6963b6e9,405b5732aaa1b45ffb36e931ddc71cdd66d194e49c99f51ab60741960d3c8735,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3QB,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,41,2A3Qb,2A3Qb,2A3Qb,explicit,false,exposition,2A3Qb,2A3Qb,645,652,657,663,27419,27790,29380,29788,0e55e8861555abf8cca05b9e3caed9b9cb9a9e0a59115377974d99d38fd7c37a,129903170926b70703bfa8bb11061d167367375973d256f6a0196a485c8fbebc,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3R,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,42,2A3R,2A3R,2A3R,explicit,false,exposition,2A3R,2A3R,653,727,664,741,27790,30670,29788,32967,9d3746844ca5fb9b60a4ee4e3a26d3b34cdf5ef20ba2d32040d07b0c136c581b,e9ea91c727e822ce0e911fa4ad3772deadbc54e2b9a370f30c49129892615987,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3S,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,43,2A3S,2A3S,2A3S,explicit,false,exposition,2A3S,2A3S,728,741,742,757,30670,31244,32967,33610,f0e84707ee32f12c4b5558693fb71fdf10dad6fc786f58ebabd205634f4c1efc,1983f9f833fb1143b59690aa1ae761a4c29c00adb6d7e7e0ad576669d618b4dc,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3SB,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,44,2A3Sb,2A3Sb,2A3Sb,explicit,false,exposition,2A3Sb,2A3Sb,742,768,758,787,31244,32647,33610,35122,785aee16f9f5ddf9a0da3499cafb76efc17beb1d08941ab479a377bf3eb198da,ed24b169f6662fdcd40109da5f69c323897e53aa944b8dc6ffd48075d673fb25,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3SC,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,45,2A3Sc,2A3Sc,2A3Sc,explicit,false,exposition,2A3Sc,2A3Sc,769,805,788,823,32647,34155,35122,36724,03af3c5d74e02dd5717f081072d12e5637743ca275935e9aea3003a3e7f889d4,8d514b81c31bf37c4208e7f74538493c4c98165ae276790b941ccf085276cdc6,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3SD,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,46,2A3Sd,2A3Sd,2A3Sd,explicit,false,exposition,2A3Sd,2A3Sd,806,811,824,829,34155,34436,36724,37061,217a9fd163ce3440c6ff7e30f11daad9cba4e413dfa54f7a928907406de7c732,e99f0afd0531a2d1427e040db8f367dedde51828989c39a5d75ae31cc930fb77,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3SE,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,47,2A3Se,2A3Se,2A3Se,explicit,false,exposition,2A3Se,2A3Se,812,830,830,848,34436,35282,37061,38010,7f34ba5d29cf215b2a3a4729f357f0ba1e96aed2368b30767e835d063448e514,4b20d74bcf194dd7180e280a87c711a41ea5eac6bb411b6870c31eff71a5be8d,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3SF,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,48,2A3Sf,2A3Sf,2A3Sf,explicit,false,exposition,2A3Sf,2A3Sf,831,884,849,903,35282,37348,38010,40146,b02222ea4cd811db19824d809ffbafbb0348d91fa02aba93c6965e8d76ccf155,e79ae97aca9edb5d6c8c2e0e1a3e5d87ebe9fc48ced5dccb567739f3689a1e31,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3SG,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,49,2A3Sg,2A3Sg,2A3Sg,explicit,false,exposition,2A3Sg,2A3Sg,885,899,904,919,37348,38101,40146,40975,efb931e633f5688b09a518b5c9a013cd8792c8922ad81512e3abfe4dedaeec03,27c672cd8c4950d7f8c6b4b973b22c3e355113409a1294ebe8e3386de2273415,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3T,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,50,2A3T,2A3T,2A3T,explicit,false,exposition,2A3T,2A3T,900,934,920,953,38101,39514,40975,42458,b9e1fa7aced8f11a4a41d8b7f28d13c4c9dbe071ebebf13b5a69baa7b487ef22,4b63a6b9cce2c2874636f2cf125190162e573de10786da92f8a71669928b0c58,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3TB,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,51,2A3Tb,2A3Tb,2A3Tb,explicit,false,exposition,2A3Tb,2A3Tb,935,981,954,1000,39514,41638,42458,44622,01326fe5601766bf522a3be0708e76000e9119c6a28cbd28407920df5d5dfbf8,ccc89131ce10dbf4b09753127362075fd09d0a1fe3e7b9621591cd150d928175,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
