schema_version,record_type,id,unit_id,parent_id,order,source_anchor,semantic_anchor,target_anchor,anchor_kind,anchor_is_synthesized,anchor_note,segment_kind,source_label,target_label,source_line_start,source_line_end,target_line_start,target_line_end,source_char_start,source_char_end,target_char_start,target_char_end,source_segment_sha256,target_segment_sha256,provenance
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111DD,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,12,111Dd,111Dd,111Dd,explicit,false,,result-or-result-group,Property (d),Sifat (d),126,138,133,145,5028,5360,5453,5814,736e51411b997ab4942fbbf8c185180a7f8f7ab763a583be78de0ab94fa09568,8763218e21ebdc65ccf5a4213ceab345f530bc546c4d736e96193f42a65f2336,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111E,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,13,111E,111E,111E,explicit,false,,exposition,More on infinite unions and intersections,Lebih lanjut tentang gabungan dan irisan tak hingga,139,168,146,174,5360,6569,5814,7138,36d2571eb1ac1700626a0ffddf6084eda5e6da81f9ffdcb00c96981f7073a007,2ffa84bae751e072e0c4d7117e1620a55558af7ed7b165ece67c0b7582b61be7,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111EA,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111E,14,111E,111Ea,111Ea,implicit-subanchor,false,Fremlin prints anchor 111E with an inline (a); 111Ea is the lossless semantic subanchor while 111E remains the source anchor.,exposition,More on infinite unions and intersections,Lebih lanjut tentang gabungan dan irisan tak hingga,139,168,146,174,5360,6569,5814,7138,36d2571eb1ac1700626a0ffddf6084eda5e6da81f9ffdcb00c96981f7073a007,2ffa84bae751e072e0c4d7117e1620a55558af7ed7b165ece67c0b7582b61be7,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111EB,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,15,111Eb,111Eb,111Eb,explicit,false,,result-or-result-group,Re-indexing by sequences,Pengindeksan ulang dengan barisan,169,213,175,222,6569,8449,7138,9306,63852754e33a9a8d51f7b923924ca20b4e65efcc080c2b2bd3535179f80ded25,66d68bdf9de826b004e0799024afae3ff570c862d91924050ec0e094f26e2d9c,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111F,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,16,111F,111F,111F,explicit,false,,definition-or-definition-group,Countable sets,Himpunan terhitung,214,238,223,247,8449,9746,9306,10727,97cb88357d6419a8c38f855b3568d8c34c92303cf3db821455bccf2b238e6245,ba81efc741e72f406652989cd811e5610f2e4ebbba2ed205a82a90e632100546,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111FA,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111F,17,111F,111Fa,111Fa,implicit-subanchor,false,Fremlin prints anchor 111F with an inline (a); 111Fa is the lossless semantic subanchor while 111F remains the source anchor.,definition-or-definition-group,Countable sets,Himpunan terhitung,214,238,223,247,8449,9746,9306,10727,97cb88357d6419a8c38f855b3568d8c34c92303cf3db821455bccf2b238e6245,ba81efc741e72f406652989cd811e5610f2e4ebbba2ed205a82a90e632100546,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111FB,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,18,111Fb,111Fb,111Fb,explicit,false,,result-or-result-group,Closure properties of countable sets,Sifat ketertutupan himpunan terhitung,239,290,248,298,9746,11881,10727,13060,eda20b761110a9a485d17a39f3b8d8d9678bfdceec1e7594ce53a14dec0e828c,1d0ce534acfe6921adf0385b5f47e85f83224c02500c7b237ac321a20dd18e0b,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111FC,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,19,111Fc,111Fc,111Fc,explicit,false,,result-or-result-group,Countable intersections,Irisan terhitung,291,313,299,320,11881,12707,13060,13927,5396b985e24cdf71a09fd7e914051a981f5b80ff955a0fec2bbdfdcc0a8f91c0,155ab40728cbe7da1e932f830bb21e1ff4dcd0c608e6c3a25870b95e33c41efe,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111FD,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,20,111Fd,111Fd,111Fd,explicit,false,,result-or-result-group,Nested countable operations,Operasi terhitung bertingkat,313,336,320,342,12707,13688,13927,14951,f74690f2c3adccba48c7bfaaa936ae200eaea3461a18be2b92b353c6a99d59a1,5eaa7d2a2386b444600fe2e914f9fce088f2891e8c276eb3141300c7b7a56363,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111FE,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,21,111Fe,111Fe,111Fe,explicit,false,,result-or-result-group,The real numbers are not countable,Bilangan real tidak terhitung,336,350,342,357,13688,14091,14951,15410,b9123f0aa8a65162e1f2127c5516bb7ccdc59ef6e620018be1e96aaf466435a9,30f0171c72d134ee25869c716dee1f0ff6afc0a4648c2b3469fdf464ae471640,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111G,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,22,111G,111G,111G,explicit,false,,result-or-result-group,Borel sets,Himpunan Borel,351,382,358,391,14091,15531,15410,16954,c244d858bc9706f444b61bf9600511d31c018b7ca8c81c48d8126b6a49b2e462,dbcab18c1bbf44d0212dcb0af44ab05e1c59fda0e4e2261c055a17017f4f104d,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111GA,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111G,23,111G,111Ga,111Ga,implicit-subanchor,false,Fremlin prints anchor 111G with an inline (a); 111Ga is the lossless semantic subanchor while 111G remains the source anchor.,result-or-result-group,Borel sets,Himpunan Borel,351,382,358,391,14091,15531,15410,16954,c244d858bc9706f444b61bf9600511d31c018b7ca8c81c48d8126b6a49b2e462,dbcab18c1bbf44d0212dcb0af44ab05e1c59fda0e4e2261c055a17017f4f104d,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111GB,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,24,111Gb,111Gb,111Gb,explicit,false,,definition-or-definition-group,Generated sigma-algebra,Aljabar-sigma yang dibangkitkan,383,412,392,422,15531,16550,16954,18096,f0583907ad3a525b9d39f8f27459a68230fcbfba5c3019349aab29c8160a4d27,f89056ec3738f8c503ccbda223a629311b26424d774cacc8127d3654447d370d,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111GC,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,25,111Gc,111Gc,111Gc,explicit,false,,definition-or-definition-group,Open sets,Himpunan terbuka,413,426,423,437,16550,17137,18096,18768,28580b83001055e708c433f72dafceddc5d089f141c3032c86aac8717f8b75ae,9678591800a8e5560a1aa545a05c42fb2dc52c54310f408caa7e51a93485cf0e,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111GC-I,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111GC,26,111Gc,111Gc-i,111Gc-i,synthesized-semantic-clause,true,Locale-neutral semantic clause ID synthesized for (i)/(ii); it is not represented as a new Fremlin paragraph ID.,definition-or-definition-group,Open sets in R,Himpunan terbuka dalam R,413,419,423,429,16550,16759,18096,18335,c586e8bed017a538b0939b9fe9412c1a17cc1e4016833724ec2bf429b8801e19,726f3dfed3091c9f1b390e20afdc7a0dabc30ed60c97923c0adc62aca48ee34d,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111GC-II,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111GC,27,111Gc,111Gc-ii,111Gc-ii,synthesized-semantic-clause,true,Locale-neutral semantic clause ID synthesized for (i)/(ii); it is not represented as a new Fremlin paragraph ID.,definition-or-definition-group,Open sets in R^r,Himpunan terbuka dalam R^r,420,426,430,437,16759,17137,18335,18768,498e7219214994879a1393459b0bee90512dad43927f9289349261c147fbe132,b02bdee1d0c1456a9878d66cfd056753aa255d80d7d83ffac6a7219e3f2c73ca,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111GD,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,28,111Gd,111Gd,111Gd,explicit,false,,definition-or-definition-group,Borel sets and the Borel sigma-algebra,Himpunan Borel dan aljabar-sigma Borel,427,434,438,445,17137,17453,18768,19123,5899958fd93e0b484fd923139ceff1d7033ae836d646eedc844bcec170b03cfc,ec1f91f34e709eec53fb1519d475b9121916aed6630d4645eb0c865aac72b97c,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111GE,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,29,111Ge,111Ge,111Ge,explicit,false,,exposition,Comment on Borel sets,Catatan tentang himpunan Borel,434,443,445,454,17453,17900,19123,19622,5b7c0a261a1aa6345d849d3f42f291d7ed4bddbc1ba9ff0d14c12b2139738cd4,48c804cd8a70e0c1bd58b62c9a6b8432407072f3b4be3c3179755e1b8bc5d442,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111X,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,30,111X,111X,111X,explicit,false,,exercise,Basic exercises,Latihan dasar,444,474,455,485,17900,19094,19622,20836,602a6dfb046f3577625a27cc18e21a36bd83271fa24e61c7bf79695bac0dee51,7a835faeb07c34d2b3352abea96f0db894d561548010aa8c66175a09df7a44e9,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111XA,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111X,31,111X,111Xa,111Xa,implicit-subanchor,false,Fremlin prints anchor 111X with an inline (a); 111Xa is the lossless semantic subanchor while 111X remains the source anchor.,exercise,Basic exercises,Latihan dasar,444,474,455,485,17900,19094,19622,20836,602a6dfb046f3577625a27cc18e21a36bd83271fa24e61c7bf79695bac0dee51,7a835faeb07c34d2b3352abea96f0db894d561548010aa8c66175a09df7a44e9,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111XB,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,32,111Xb,111Xb,111Xb,explicit,false,,exercise,Basic exercise (b),Latihan dasar (b),475,479,486,491,19094,19314,20836,21118,f983e4c8dfa5715a6f40789ae81f907f07524da8304e1860b718379ede106917,86ece55296ff825bfe143f7b8be91b148378b5a3a2bbb113a28e084c8282ef2e,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111XC,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,33,111Xc,111Xc,111Xc,explicit,false,,exercise,Basic exercise (c),Latihan dasar (c),480,484,492,498,19314,19573,21118,21400,b2b879597460e26440109d6399513bf8a12fa295c81b313923f4fc4b404c627f,803a02490348ff9905637b68515a3c9986fc38e39c34bd9f3d36499b6a0dfdc4,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111XD,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,34,111Xd,111Xd,111Xd,explicit,false,,exercise,Basic exercise (d),Latihan dasar (d),485,489,499,503,19573,19777,21400,21613,a255a15dcd5273ccecc80e645621535fcf40afb2e1be1fd09328ec532a1f59e0,81d5d65681da28dccf90948e22569b5375e21590a3092643a8d060ab761772bc,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111XE,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,35,111Xe,111Xe,111Xe,explicit,false,,exercise,Basic exercise (e),Latihan dasar (e),490,495,504,511,19777,20116,21613,21970,684ac26c9012ca9d98fc430c22f09209af5ecb46002a99a9e21e94913014ed08,22f265470716e5ca49f4063cce431802edcaf30a758aa3e0840ae3f41d5cfb7a,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111XF,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,36,111Xf,111Xf,111Xf,explicit,false,,exercise,Basic exercise (f),Latihan dasar (f),496,501,512,518,20116,20413,21970,22277,44fe0d834b85e0cedf82c88dce825f76663dd8f194a9b3bce94b1c8b0fe8a432,bda7d3d499335bceedb0954406faad5a066c8a4e815f75b2805067e8c7901e89,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111Y,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,37,111Y,111Y,111Y,explicit,false,,exercise,Further exercises,Latihan lanjutan,502,508,519,526,20413,20780,22277,22706,89bde4e012f9a3e881d2b7523f7794af03924dede1dfb773df2d414860973774,49151737f7d04824a3af465a61901575193e8407a30d27881018e3be907dff6b,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111YA,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111Y,38,111Y,111Ya,111Ya,implicit-subanchor,false,Fremlin prints anchor 111Y with an inline (a); 111Ya is the lossless semantic subanchor while 111Y remains the source anchor.,exercise,Further exercises,Latihan lanjutan,502,508,519,526,20413,20780,22277,22706,89bde4e012f9a3e881d2b7523f7794af03924dede1dfb773df2d414860973774,49151737f7d04824a3af465a61901575193e8407a30d27881018e3be907dff6b,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111YB,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,39,111Yb,111Yb,111Yb,explicit,false,,exercise,Further exercise (b),Latihan lanjutan (b),509,513,527,533,20780,21051,22706,23001,6f31407754fb399904e10da010f8ee80d0555c8d7f24b580d6d660232a175277,a02bed88223dedae92d4ba6a81993ab6bad5d254bc97e4f62b8305c3a40510de,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111YC,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,40,111Yc,111Yc,111Yc,explicit,false,,exercise,Further exercise (c),Latihan lanjutan (c),514,521,534,541,21051,21289,23001,23272,d8300979beb0f18ec96e9746d6b7e92eb47a147b391cb3fd7a18cee33565a119,5377221d39139268bac582c459c673266c750bed3e4658d8a7f73fd98733995a,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111YD,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,41,111Yd,111Yd,111Yd,explicit,false,,exercise,Further exercise (d),Latihan lanjutan (d),522,532,542,552,21289,21692,23272,23729,9b11f9144932165e6b34ed5923ae70b462afa3154a5cb7816ae8b02d787e64a3,7ec884e172c9d3dc2e5b2ff6abdb22bc7146947902ac2852b6ebf728528f5c0c,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111YE,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,42,111Ye,111Ye,111Ye,explicit,false,,exercise,Further exercise (e),Latihan lanjutan (e),533,542,553,563,21692,22159,23729,24303,ea7eb64f9cb64dea73b0fb4d4da2a6dbb3b511cea3999666e2f59c4fc47f9f69,2922b99412a3fe1c2c4abc67676e3f7848fa7dce833e71689bc1b4e7e4509d56,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
