schema_version,record_type,id,unit_id,rights_id,artifact_kind,local_path,bytes,sha256,verification_status,provenance
1.1.0,artifact,O007-FREMLIN-V1-APPENDIX-INTRO-ARTIFACT-FROZEN_AUTHORITY_TEX,O007-FREMLIN-V1-APPENDIX-INTRO,O007-RIGHTS-FREMLIN-DSL,frozen-authority-tex,authority/fremlin/source/mt1.2011/mt1a.tex,1102,4ebe7dc511763be44d670bb6cbd1c40eb84f8c895057c756422826ea83bf1f37,exact local bytes and SHA-256 verified,"{""basis"":""Exact closure input identity."",""kind"":""artifact-identity"",""source_resource_ids"":[""O007-RESOURCE-MT1A-SOURCE""]}"
1.1.0,artifact,O007-FREMLIN-V1-APPENDIX-INTRO-ARTIFACT-ID_ID_TRANSLATED_EDITABLE_SOURCE,O007-FREMLIN-V1-APPENDIX-INTRO,O007-RIGHTS-FREMLIN-DSL,id-ID-translated-editable-source,source/id-ID/mt1a.tex,1233,8a566a2386592d409e1d0da624f3df06d95577455345e7f4288469d6ae34225d,exact local bytes and SHA-256 verified,"{""basis"":""Exact closure input identity."",""kind"":""artifact-identity"",""source_resource_ids"":[""O007-RESOURCE-MT1A-TARGET""]}"
1.1.0,artifact,O007-FREMLIN-V1-A1-ARTIFACT-FROZEN_AUTHORITY_TEX,O007-FREMLIN-V1-A1,O007-RIGHTS-FREMLIN-DSL,frozen-authority-tex,authority/fremlin/source/mt1.2011/mt1a1.tex,16731,482bdbe2a55bdc8f9f03c8f6fcade7d743b7b988659b9044d6bec16fa5d32289,exact local bytes and SHA-256 verified,"{""basis"":""Exact closure input identity."",""kind"":""artifact-identity"",""source_resource_ids"":[""O007-RESOURCE-MT1A1-SOURCE""]}"
1.1.0,artifact,O007-FREMLIN-V1-A1-ARTIFACT-ID_ID_TRANSLATED_EDITABLE_SOURCE,O007-FREMLIN-V1-A1,O007-RIGHTS-FREMLIN-DSL,id-ID-translated-editable-source,source/id-ID/mt1a1.tex,18530,30a70565223af10939c788ff16b864ad5b8b6f2dc9ccfa6a18e5af32d51b5ecd,exact local bytes and SHA-256 verified,"{""basis"":""Exact closure input identity."",""kind"":""artifact-identity"",""source_resource_ids"":[""O007-RESOURCE-MT1A1-TARGET""]}"
1.1.0,artifact,O007-FREMLIN-V1-A2-ARTIFACT-FROZEN_AUTHORITY_TEX,O007-FREMLIN-V1-A2,O007-RIGHTS-FREMLIN-DSL,frozen-authority-tex,authority/fremlin/source/mt1.2011/mt1a2.tex,5978,347e774290e9d396218f6ba1e91620e1e67baf98efc387df43332bd7dae74852,exact local bytes and SHA-256 verified,"{""basis"":""Exact closure input identity."",""kind"":""artifact-identity"",""source_resource_ids"":[""O007-RESOURCE-MT1A2-SOURCE""]}"
1.1.0,artifact,O007-FREMLIN-V1-A2-ARTIFACT-ID_ID_TRANSLATED_EDITABLE_SOURCE,O007-FREMLIN-V1-A2,O007-RIGHTS-FREMLIN-DSL,id-ID-translated-editable-source,source/id-ID/mt1a2.tex,6331,de4a48a1681e3f13f85f689d8ed3bf3e349b41b1db6ce6415f10e2c5dd150801,exact local bytes and SHA-256 verified,"{""basis"":""Exact closure input identity."",""kind"":""artifact-identity"",""source_resource_ids"":[""O007-RESOURCE-MT1A2-TARGET""]}"
1.1.0,artifact,O007-FREMLIN-V1-A3-ARTIFACT-FROZEN_AUTHORITY_TEX,O007-FREMLIN-V1-A3,O007-RIGHTS-FREMLIN-DSL,frozen-authority-tex,authority/fremlin/source/mt1.2011/mt1a3.tex,8391,8dbfa08eb8553477b1c39a3ea6d1f969550498f352a4ca9afe119bb7887c744c,exact local bytes and SHA-256 verified,"{""basis"":""Exact closure input identity."",""kind"":""artifact-identity"",""source_resource_ids"":[""O007-RESOURCE-MT1A3-SOURCE""]}"
1.1.0,artifact,O007-FREMLIN-V1-A3-ARTIFACT-ID_ID_TRANSLATED_EDITABLE_SOURCE,O007-FREMLIN-V1-A3,O007-RIGHTS-FREMLIN-DSL,id-ID-translated-editable-source,source/id-ID/mt1a3.tex,8844,78d66b4dea48daa794dd9c7e9fce385b203f59a6034468431f5d97c969a7287c,exact local bytes and SHA-256 verified,"{""basis"":""Exact closure input identity."",""kind"":""artifact-identity"",""source_resource_ids"":[""O007-RESOURCE-MT1A3-TARGET""]}"
1.1.0,artifact,O007-FREMLIN-V1-CONCORDANCE-ARTIFACT-FROZEN_AUTHORITY_TEX,O007-FREMLIN-V1-CONCORDANCE,O007-RIGHTS-FREMLIN-DSL,frozen-authority-tex,authority/fremlin/source/mt1.2011/mt1conc.tex,1292,03663ade39a6227e3ed4e628fcff98f5012e1a3238c207413a1d27d0734ff16f,exact local bytes and SHA-256 verified,"{""basis"":""Exact closure input identity."",""kind"":""artifact-identity"",""source_resource_ids"":[""O007-RESOURCE-MT1CONC-SOURCE""]}"
1.1.0,artifact,O007-FREMLIN-V1-CONCORDANCE-ARTIFACT-ID_ID_TRANSLATED_EDITABLE_SOURCE,O007-FREMLIN-V1-CONCORDANCE,O007-RIGHTS-FREMLIN-DSL,id-ID-translated-editable-source,source/id-ID/mt1conc.tex,1266,be51adec453a5dda8f52e18f5fdaa9404ec049d27d5a38b25216dc4e41fe6b4a,exact local bytes and SHA-256 verified,"{""basis"":""Exact closure input identity."",""kind"":""artifact-identity"",""source_resource_ids"":[""O007-RESOURCE-MT1CONC-TARGET""]}"
1.1.0,artifact,O007-FREMLIN-V1-REFERENCES-ARTIFACT-FROZEN_AUTHORITY_TEX,O007-FREMLIN-V1-REFERENCES,O007-RIGHTS-FREMLIN-DSL,frozen-authority-tex,authority/fremlin/source/mt1.2011/mt1r.tex,2278,d59c6d646ebe1be1cdd1f130045c21ff13bd5e3f343901c28d318aefb4f76880,exact local bytes and SHA-256 verified,"{""basis"":""Exact closure input identity."",""kind"":""artifact-identity"",""source_resource_ids"":[""O007-RESOURCE-MT1R-SOURCE""]}"
1.1.0,artifact,O007-FREMLIN-V1-REFERENCES-ARTIFACT-ID_ID_TRANSLATED_EDITABLE_SOURCE,O007-FREMLIN-V1-REFERENCES,O007-RIGHTS-FREMLIN-DSL,id-ID-translated-editable-source,source/id-ID/mt1r.tex,2350,cf7da23510a808439e4e51533a3a10a4b2f83c50e9a20de4acf32850834f0207,exact local bytes and SHA-256 verified,"{""basis"":""Exact closure input identity."",""kind"":""artifact-identity"",""source_resource_ids"":[""O007-RESOURCE-MT1R-TARGET""]}"
1.1.0,artifact,O007-FREMLIN-V1-MTI-ARTIFACT-SHARED_INDEX_AUTHORITY_TEX,O007-FREMLIN-V1-MTI,O007-RIGHTS-FREMLIN-DSL,shared-index-authority-tex,authority/fremlin/source/mt1.2011/mti.tex,473311,f331588e3b9fd97a04754a15bd667b6ec62c73e21946efa8ed7a39083b140070,exact local bytes and SHA-256 verified,"{""basis"":""Exact closure input identity."",""kind"":""artifact-identity"",""source_resource_ids"":[""O007-RESOURCE-MTI-SOURCE""]}"
1.1.0,artifact,O007-FREMLIN-V1-MTI-ARTIFACT-VOLUME1_ACTIVE_ID_ID_INDEX_TEX,O007-FREMLIN-V1-MTI,O007-RIGHTS-FREMLIN-DSL,volume1-active-id-ID-index-tex,source/id-ID/mti.tex,36790,3ef6caa5a23f5d279bec80cae8742385a19c242b54fc3b93f6b4944359724ad0,exact local bytes and SHA-256 verified,"{""basis"":""Exact closure input identity."",""kind"":""artifact-identity"",""source_resource_ids"":[""O007-RESOURCE-MTI-TARGET""]}"
1.1.0,artifact,O007-FREMLIN-V1-MTI-ARTIFACT-VOLUME1_INDEX_TRANSLATION_RECORDS,O007-FREMLIN-V1-MTI,O007-RIGHTS-FREMLIN-DSL,volume1-index-translation-records,backend/index/mti-volume1-translations-id.jsonl,1155992,0dab35df4b544ef93df2d06a0ea4d0e6e5abbe4182400cc00df2ab0f26856f3a,exact local bytes and SHA-256 verified,"{""basis"":""Exact closure input identity."",""kind"":""artifact-identity"",""source_resource_ids"":[""O007-RESOURCE-MTI-TRANSLATIONS""]}"
