schema_version,record_type,id,unit_id,subject_id,relation_type,object_id,provenance
1.1.0,relation,O007-FREMLIN-V1-SOURCE-ORDER-0011,O007-FREMLIN-V1-S121,O007-FREMLIN-V1-S121,precedes-in-volume-source-order,O007-FREMLIN-V1-S122,"{""basis"":""Exact vol1.tex driver order, with nested mt10 includes exposed as stable units."",""kind"":""source-order""}"
1.1.0,relation,O007-FREMLIN-V1-SOURCE-ORDER-0012,O007-FREMLIN-V1-S122,O007-FREMLIN-V1-S122,precedes-in-volume-source-order,O007-FREMLIN-V1-S123,"{""basis"":""Exact vol1.tex driver order, with nested mt10 includes exposed as stable units."",""kind"":""source-order""}"
1.1.0,relation,O007-FREMLIN-V1-SOURCE-ORDER-0013,O007-FREMLIN-V1-S123,O007-FREMLIN-V1-S123,precedes-in-volume-source-order,O007-FREMLIN-V1-CH13-INTRO,"{""basis"":""Exact vol1.tex driver order, with nested mt10 includes exposed as stable units."",""kind"":""source-order""}"
1.1.0,relation,O007-FREMLIN-V1-SOURCE-ORDER-0014,O007-FREMLIN-V1-CH13-INTRO,O007-FREMLIN-V1-CH13-INTRO,precedes-in-volume-source-order,O007-FREMLIN-V1-S131,"{""basis"":""Exact vol1.tex driver order, with nested mt10 includes exposed as stable units."",""kind"":""source-order""}"
1.1.0,relation,O007-FREMLIN-V1-SOURCE-ORDER-0015,O007-FREMLIN-V1-S131,O007-FREMLIN-V1-S131,precedes-in-volume-source-order,O007-FREMLIN-V1-S132,"{""basis"":""Exact vol1.tex driver order, with nested mt10 includes exposed as stable units."",""kind"":""source-order""}"
1.1.0,relation,O007-FREMLIN-V1-SOURCE-ORDER-0016,O007-FREMLIN-V1-S132,O007-FREMLIN-V1-S132,precedes-in-volume-source-order,O007-FREMLIN-V1-S133,"{""basis"":""Exact vol1.tex driver order, with nested mt10 includes exposed as stable units."",""kind"":""source-order""}"
1.1.0,relation,O007-FREMLIN-V1-SOURCE-ORDER-0017,O007-FREMLIN-V1-S133,O007-FREMLIN-V1-S133,precedes-in-volume-source-order,O007-FREMLIN-V1-S134,"{""basis"":""Exact vol1.tex driver order, with nested mt10 includes exposed as stable units."",""kind"":""source-order""}"
1.1.0,relation,O007-FREMLIN-V1-SOURCE-ORDER-0018,O007-FREMLIN-V1-S134,O007-FREMLIN-V1-S134,precedes-in-volume-source-order,O007-FREMLIN-V1-S135,"{""basis"":""Exact vol1.tex driver order, with nested mt10 includes exposed as stable units."",""kind"":""source-order""}"
1.1.0,relation,O007-FREMLIN-V1-SOURCE-ORDER-0019,O007-FREMLIN-V1-S135,O007-FREMLIN-V1-S135,precedes-in-volume-source-order,O007-FREMLIN-V1-S136,"{""basis"":""Exact vol1.tex driver order, with nested mt10 includes exposed as stable units."",""kind"":""source-order""}"
1.1.0,relation,O007-FREMLIN-V1-SOURCE-ORDER-0020,O007-FREMLIN-V1-S136,O007-FREMLIN-V1-S136,precedes-in-volume-source-order,O007-FREMLIN-V1-APPENDIX-INTRO,"{""basis"":""Exact vol1.tex driver order, with nested mt10 includes exposed as stable units."",""kind"":""source-order""}"
1.1.0,relation,O007-FREMLIN-V1-SOURCE-ORDER-0021,O007-FREMLIN-V1-APPENDIX-INTRO,O007-FREMLIN-V1-APPENDIX-INTRO,precedes-in-volume-source-order,O007-FREMLIN-V1-A1,"{""basis"":""Exact vol1.tex driver order, with nested mt10 includes exposed as stable units."",""kind"":""source-order""}"
1.1.0,relation,O007-FREMLIN-V1-SOURCE-ORDER-0022,O007-FREMLIN-V1-A1,O007-FREMLIN-V1-A1,precedes-in-volume-source-order,O007-FREMLIN-V1-A2,"{""basis"":""Exact vol1.tex driver order, with nested mt10 includes exposed as stable units."",""kind"":""source-order""}"
1.1.0,relation,O007-FREMLIN-V1-SOURCE-ORDER-0023,O007-FREMLIN-V1-A2,O007-FREMLIN-V1-A2,precedes-in-volume-source-order,O007-FREMLIN-V1-A3,"{""basis"":""Exact vol1.tex driver order, with nested mt10 includes exposed as stable units."",""kind"":""source-order""}"
1.1.0,relation,O007-FREMLIN-V1-SOURCE-ORDER-0024,O007-FREMLIN-V1-A3,O007-FREMLIN-V1-A3,precedes-in-volume-source-order,O007-FREMLIN-V1-CONCORDANCE,"{""basis"":""Exact vol1.tex driver order, with nested mt10 includes exposed as stable units."",""kind"":""source-order""}"
1.1.0,relation,O007-FREMLIN-V1-SOURCE-ORDER-0025,O007-FREMLIN-V1-CONCORDANCE,O007-FREMLIN-V1-CONCORDANCE,precedes-in-volume-source-order,O007-FREMLIN-V1-REFERENCES,"{""basis"":""Exact vol1.tex driver order, with nested mt10 includes exposed as stable units."",""kind"":""source-order""}"
1.1.0,relation,O007-FREMLIN-V1-SOURCE-ORDER-0026,O007-FREMLIN-V1-REFERENCES,O007-FREMLIN-V1-REFERENCES,precedes-in-volume-source-order,O007-FREMLIN-V1-MTI,"{""basis"":""Exact vol1.tex driver order, with nested mt10 includes exposed as stable units."",""kind"":""source-order""}"
