schema_version,record_type,id,unit_id,rights_id,order,source_anchor,semantic_anchor,target_anchor,anchor_kind,anchor_is_synthesized,anchor_note,segment_kind,source_line_start,source_line_end,target_line_start,target_line_end,source_char_start,source_char_end,target_char_start,target_char_end,source_segment_sha256,target_segment_sha256,provenance
1.1.0,segment,O007-FREMLIN-V1-FRONT-MT10-SEGMENT-0001,O007-FREMLIN-V1-FRONT-MT10,O007-RIGHTS-FREMLIN-DSL,1,mt10,O007-FREMLIN-V1-FRONT-MT10-COMPLETE-FILE,O007-FREMLIN-V1-FRONT-MT10-COMPLETE-FILE,unit-metadata,false,,complete-source-member,1,402,1,404,0,13705,0,14003,583e6a9e306d6eb4776df5260d04f8296cf27bb97aa740d8003802c12f5de452,e5d7a1cb3403ad14ac188e64fa19f1efbb6964df5a9af7793ee03d338b606faf,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT10-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A1-SEGMENT-0006,O007-FREMLIN-V1-A1,O007-RIGHTS-FREMLIN-DSL,6,1A1Ad,1A1Ad,1A1Ad,explicit,false,,exposition,65,77,63,75,2094,2613,2236,2798,92591e1dadc85d6a6ae1b83e8ce34e17c261ca18cc6723571da9d9fdd41cbf19,9fed0fea03bc26d99d1d56a37631e58814fb8ce0dbde1b165379be4a795d0bc4,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A1-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A1-SEGMENT-0007,O007-FREMLIN-V1-A1,O007-RIGHTS-FREMLIN-DSL,7,1A1B,1A1B,1A1B,explicit,false,,exposition,78,81,76,79,2613,2809,2798,3005,b2bf30aa0c7b2257af47fd93a92d04b3677cc43b57f063d4aca377a6d65bc96c,8fe7e14e1607b23e5e8fbed250c5904caff277d0c728838d818be156a30abfba,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A1-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A1-SEGMENT-0008,O007-FREMLIN-V1-A1,O007-RIGHTS-FREMLIN-DSL,8,1A1Ba,1A1Ba,1A1Ba,explicit,false,,exposition,82,89,80,88,2809,3081,3005,3312,e7a782ffc35b82726630f27624d5ebfbf904070a88e16ee10fe8310800b70809,9084338e28124045fe036acfa48aa921017fa87113fac29a19594ea4d878a9d8,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A1-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A1-SEGMENT-0009,O007-FREMLIN-V1-A1,O007-RIGHTS-FREMLIN-DSL,9,1A1Bb,1A1Bb,1A1Bb,explicit,false,,exposition,90,103,89,101,3081,3724,3312,3991,90273b7df2ff70e72571cadffd34b547ece5fc3ba05786fa4ef1f3ea49da7fd0,02ee66b188ce0bf10956a41c27421999a06ed9fee0fb378c21b443f9218a43dc,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A1-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A1-SEGMENT-0010,O007-FREMLIN-V1-A1,O007-RIGHTS-FREMLIN-DSL,10,1A1Bc,1A1Bc,1A1Bc,explicit,false,,exposition,104,122,102,121,3724,4389,3991,4760,651226c575988878712235c799d85d9eadf7d9e8ad7f9a538506d05370d6fc99,3f203a317924468860c8655040ed051d590c4215cf2336f74fa8b5b98fe34511,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A1-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A1-SEGMENT-0011,O007-FREMLIN-V1-A1,O007-RIGHTS-FREMLIN-DSL,11,1A1Bd,1A1Bd,1A1Bd,explicit,false,,exposition,122,130,121,129,4389,4808,4760,5225,9e6b8cf086292ad4193afefcc656a9be41a1cd0a736160f953a591045d2a61b1,f123c1599c2545f0228b8feb426692d87a54f15c52508a08799392bcec35a20d,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A1-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A1-SEGMENT-0012,O007-FREMLIN-V1-A1,O007-RIGHTS-FREMLIN-DSL,12,1A1C,1A1C,1A1C,explicit,false,,exposition,131,138,130,137,4808,5205,5225,5693,67043f8e6b86f8b64c169ef912da6db7059d7094acd60ff13f0ce72bebc122b6,a9ab1d17d427336231fa8a14d72d6d3929b67f268955b914c7aa55f372da6c80,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A1-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A1-SEGMENT-0013,O007-FREMLIN-V1-A1,O007-RIGHTS-FREMLIN-DSL,13,1A1D,1A1D,1A1D,explicit,false,,exposition,139,201,138,202,5205,7949,5693,8795,fdd3f6608269edd1ab03a854b87d870515b96e2ca5eb47054365bea0486900dd,2a530d47829df217951ed1a0fb9f2f36ec34c13cba3c871d113b800553abf836,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A1-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A1-SEGMENT-0014,O007-FREMLIN-V1-A1,O007-RIGHTS-FREMLIN-DSL,14,1A1E,1A1E,1A1E,explicit,false,,exposition,202,212,203,213,7949,8347,8795,9225,80caf48f9c839d5d91b283737c7ee8d81c13b06ffa80121347411af223e8920f,b137dd831a4706f58a7d88252bc3f1a1439f87456828829e0e602d99cdb4e67c,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A1-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A1-SEGMENT-0015,O007-FREMLIN-V1-A1,O007-RIGHTS-FREMLIN-DSL,15,1A1Eb,1A1Eb,1A1Eb,explicit,false,,exposition,213,216,214,218,8347,8590,9225,9480,270ac26644d1a70198d622b58ca7d1f92e8144bdf04073b7727c3cc011c805a5,41a6bf99666ff560f21c215095cd183bdd938456b6da25a4fc53e1247fdb6e27,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A1-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A1-SEGMENT-0016,O007-FREMLIN-V1-A1,O007-RIGHTS-FREMLIN-DSL,16,1A1Ec,1A1Ec,1A1Ec,explicit,false,,exposition,217,219,219,221,8590,8700,9480,9617,3269fd0375129ee9d62670bf52c9b0d9f0fbf8ca2fc9e2e6733f6251e4673e96,157b8f096907913501e8013aebc6bb5d2082886e9d4dc95e25e79cd622f862ed,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A1-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A1-SEGMENT-0017,O007-FREMLIN-V1-A1,O007-RIGHTS-FREMLIN-DSL,17,1A1Ed,1A1Ed,1A1Ed,explicit,false,,exposition,220,222,222,224,8700,8819,9617,9750,e0004b672199da2ae93b0152a277e0ff75e03e179fa10b90899513a1a096a3be,417b2f94868ba5e6580b420e4c4a1e2cb16a7fbb3fa4f9e3315a4bb51ad7dcd2,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A1-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A1-SEGMENT-0018,O007-FREMLIN-V1-A1,O007-RIGHTS-FREMLIN-DSL,18,1A1Ee,1A1Ee,1A1Ee,explicit,false,,exposition,223,225,225,227,8819,8962,9750,9893,8626aeaf2489db2d6b4131645b58ad4fd1626a863bc50ad0a631d0e14fccc112,8ba2718f8e977373081ecbf84f12fa2feffd92538f0750fd8a647ab9a396849a,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A1-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A1-SEGMENT-0019,O007-FREMLIN-V1-A1,O007-RIGHTS-FREMLIN-DSL,19,1A1Ef,1A1Ef,1A1Ef,explicit,false,,exposition,226,229,228,231,8962,9115,9893,10047,15de587832ae7cea6882f0a9803e18f6f2086becf31cfb6182807d08816f6af1,1276d0417fcdcad048cdea390ae51344331bdc3aab12e9f92c460f5e1d3c2af8,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A1-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A1-SEGMENT-0020,O007-FREMLIN-V1-A1,O007-RIGHTS-FREMLIN-DSL,20,1A1F,1A1F,1A1F,explicit,false,,exposition,230,263,232,266,9115,10259,10047,11354,0c3c12379321fdfe03a51bf0153cd523793ac38ebb6e8ad81ef3b043ade7a763,4a6869f5f187d29b0929be28904a430800cff2826107b969d880bb8cd9de3a2e,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A1-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A1-SEGMENT-0021,O007-FREMLIN-V1-A1,O007-RIGHTS-FREMLIN-DSL,21,*1A1G,*1A1G,*1A1G,explicit,false,,exposition,264,305,267,308,10259,12656,11354,14033,35dac9138ddaed269d53b87ad094c99adb9a0e1255174b31fba340898e818042,1a886daad9817fe7fe5938e665e8e3f63e26121153d2308e9ddd68110b22e9a2,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A1-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A1-SEGMENT-0022,O007-FREMLIN-V1-A1,O007-RIGHTS-FREMLIN-DSL,22,1A1H,1A1H,1A1H,explicit,false,,exposition,306,352,309,352,12656,14543,14033,16104,9ca591cc27815228a847c57b694907d29a152f1b968503088817509c0a7a4ee8,c50c975e4e66c14d71483315019bea9c685c1f470543117187d16835a03382ca,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A1-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A1-SEGMENT-0023,O007-FREMLIN-V1-A1,O007-RIGHTS-FREMLIN-DSL,23,1A1Hb,1A1Hb,1A1Hb,explicit,false,,exposition,353,372,353,373,14543,15256,16104,16845,769cba668c9eecc373056c40d3cde2a0ecdd4eb96809272f4b6a60ace29a29f7,2bf4f8ecd6c77487a13e3f16e56688ed48d427c41aa4e3727d7991e08abba653,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A1-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A1-SEGMENT-0024,O007-FREMLIN-V1-A1,O007-RIGHTS-FREMLIN-DSL,24,1A1I,1A1I,1A1I,explicit,false,,exposition,373,378,374,378,15256,15467,16845,17057,1b6b9a210e7ac486ef8ecdfe8ffd223e178f008e31a9548af00baafff73caa72,ef9e44e03b2a3cba671c836f223efa46616cedf0631d8e34349f244fdfa758b8,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A1-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A1-SEGMENT-0025,O007-FREMLIN-V1-A1,O007-RIGHTS-FREMLIN-DSL,25,1A1J,1A1J,1A1J,explicit,false,,exposition,379,392,379,392,15467,16067,17057,17762,1ebcc9d69fe97255f56c9e6c80e2ca7e2e204fd2a73417ef2048d0d49d1d47f9,8985248b73dbc857f7da48f4c7974370c8346eb49d4ac1d88dc5280c2dc03b4b,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A1-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A1-SEGMENT-0026,O007-FREMLIN-V1-A1,O007-RIGHTS-FREMLIN-DSL,26,1A1,1A1,1A1,explicit,false,,exposition,392,406,392,405,16067,16731,17762,18530,10360b1f3665724aef4c5bd98112cfa8c6c04efc63964bfacf6ef0f6e8046134,9344b0a90b25712cb7fa15ff73f7e469a346483775d2e9274f2c3da8c9143e61,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A1-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A2-SEGMENT-0001,O007-FREMLIN-V1-A2,O007-RIGHTS-FREMLIN-DSL,1,mt1a2,O007-FREMLIN-V1-A2-PREAMBLE,O007-FREMLIN-V1-A2-PREAMBLE,unit-metadata,false,,source-member-preamble,1,15,1,16,0,475,0,513,5f0a06b9cd0bf4a975cd46fbd988685e07cc27fc5ec872952c6cbe9ab7954d5e,bafc1921c193f264ab82848644ddd017d1e0a62a4d87ed99e4d87952878a5f49,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A2-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A2-SEGMENT-0002,O007-FREMLIN-V1-A2,O007-RIGHTS-FREMLIN-DSL,2,1A2A,1A2A,1A2A,explicit,false,,exposition,16,27,17,29,475,1118,513,1251,df574ac64ed499ced89d0bf5b25fd1c72ac011f3aa9469f10dcbb00a20fa5603,dc287f873b27d9e9b74c635058f69916987aedfbf5c59f648ece3d95c2d2cf90,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A2-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A2-SEGMENT-0003,O007-FREMLIN-V1-A2,O007-RIGHTS-FREMLIN-DSL,3,1A2B,1A2B,1A2B,explicit,false,,exposition,28,69,30,69,1118,2716,1251,2907,5d5e6ed557591fbbc2f8198e689b8db57c9a2da15938b6551b05ae52151f0808,8ef4108979a1505fe5b6f0acdfa6b04a8356280a11215873887ce361daf6a0f2,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A2-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A2-SEGMENT-0004,O007-FREMLIN-V1-A2,O007-RIGHTS-FREMLIN-DSL,4,1A2C,1A2C,1A2C,explicit,false,,exposition,70,95,70,95,2716,3715,2907,3948,cfba3d2d7289d3dd1e3e48b84ff0aeef431e853f16d7b193a070e76b070d4e84,fd9f36691b1b766d2f88b69395009b5e87906b4d5e8c503f31232796cd3a23e5,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A2-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A2-SEGMENT-0005,O007-FREMLIN-V1-A2,O007-RIGHTS-FREMLIN-DSL,5,1A2D,1A2D,1A2D,explicit,false,,exposition,96,110,96,109,3715,4161,3948,4413,201e3a8ddf45489f5cb2d916aa5aa6fd09c59c1455b880e28c09853065041121,99c4e2988dcab5c129f67504884c76464a36efdff93f5d6385269d91208b7888,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A2-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A2-SEGMENT-0006,O007-FREMLIN-V1-A2,O007-RIGHTS-FREMLIN-DSL,6,1A2E,1A2E,1A2E,explicit,false,,exposition,111,120,110,117,4161,4579,4413,4909,11abca2431d62b2d10cd4d5c1c6a3a280f61e9a3ff380b24a5b3e0e6023c4fe4,07a1a7c151b3e75997f97c1b07e4f1e0cf987a75e05b44da8120d06ef98c1c49,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A2-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A2-SEGMENT-0007,O007-FREMLIN-V1-A2,O007-RIGHTS-FREMLIN-DSL,7,1A2F,1A2F,1A2F,explicit,false,,exposition,121,144,118,142,4579,5383,4909,5749,68fda156787808168345d12e9f70f38c5e2fbcb6fd81d6d19ccdd21d04561ded,b0e51cdc5fc30ffd982c94be1a4d10179fad2572aed16ab795008cb38adef760,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A2-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A2-SEGMENT-0008,O007-FREMLIN-V1-A2,O007-RIGHTS-FREMLIN-DSL,8,1A2G,1A2G,1A2G,explicit,false,,exposition,145,166,143,162,5383,5978,5749,6331,a37158d58be70c1c717ffa2f4dc6a36f9c55d03c4665cd66d6872bf52f4f992d,1661ac8fc324a88daf6de7d6bc3c80eddd44fb4a8d0ab6e0c005db7628bba0e6,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A2-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A3-SEGMENT-0001,O007-FREMLIN-V1-A3,O007-RIGHTS-FREMLIN-DSL,1,mt1a3,O007-FREMLIN-V1-A3-PREAMBLE,O007-FREMLIN-V1-A3-PREAMBLE,unit-metadata,false,,source-member-preamble,1,13,1,12,0,294,0,283,e0fff4efe148b267baf40eeeb5a9ab84789b34bb7b230a55d65e1ca1897ec6cb,1bb58d5f7812fef88fbcc0ccee13cad80c0c8fbf64fe9ee98e0cac9fc6c114f1,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A3-SOURCE""]}"
