schema_version,record_type,id,unit_id,rights_id,parent_id,order,source_anchor,semantic_anchor,target_anchor,anchor_kind,anchor_is_synthesized,anchor_note,segment_kind,source_label,target_label,source_line_start,source_line_end,target_line_start,target_line_end,source_char_start,source_char_end,target_char_start,target_char_end,source_segment_sha256,target_segment_sha256,provenance
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113CD,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S113-SEG-113C,11,113C,113Cd,113Cd,implicit-subanchor,false,Printed proof clause (d) inside 113C restored as implicit semantic ID 113Cd.,proof-clause,Proof clause (d),Klausa bukti (d),122,185,123,186,3885,6050,4060,6352,79404fd6064578d0ba2c75cf115c00f2e9b17250b1b304b1b12258a5ebac083d,d6cf54c2aa3f5cedaecac36bfc60d391cf7593e6deeb45e2ee2966ab25cc7d8d,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113CE,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S113-SEG-113C,12,113C,113Ce,113Ce,implicit-subanchor,false,Printed proof clause (e) inside 113C restored as implicit semantic ID 113Ce.,proof-clause,Proof clause (e),Klausa bukti (e),186,219,187,220,6050,7088,6352,7469,dc0488884c4934db014233ec9e796fea1ce2822a278dfb2ec4d8cd40fe288e62,afb79fed45335a57a3a96713bd6e5310d2969be4b5357053fbd6ade307e91efa,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113D,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,,13,113D,113D,113D,explicit,false,,exposition,Remark,Catatan,222,235,223,236,7112,7617,7493,8010,fe2c7cf9e6bda8c7e70f7d4ac2c2f58ffe8c470d21adc78976a8107b002bb2d7,cb1d7f50910c60cb58fd92ffd2253f1d1dd5e22121cf36763b835db931c5ca8f,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113X,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,,14,113X,113X,113X,explicit,false,,exercise,Basic exercises,Latihan dasar,236,243,237,245,7617,7987,8010,8433,7581b58f1cdc01535044f773c361fc1322c490bb67c6c3adfe58ec10437f571e,a23ff51245e6fcabd28e2bcafa09a91f5e2d4137ed27e79e1305ebdbac2d5eb6,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113XA,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S113-SEG-113X,15,113X,113Xa,113Xa,implicit-subanchor,false,The 113Xa header is commented in source while 113X prints exercise (a); the implicit ID is restored losslessly.,exercise,Basic exercise (a),Latihan dasar (a),236,243,237,245,7617,7987,8010,8433,7581b58f1cdc01535044f773c361fc1322c490bb67c6c3adfe58ec10437f571e,a23ff51245e6fcabd28e2bcafa09a91f5e2d4137ed27e79e1305ebdbac2d5eb6,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113XB,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,,16,113Xb,113Xb,113Xb,explicit,false,,exercise,Basic exercise (b),Latihan dasar (b),244,259,246,262,7987,8655,8433,9290,f4f27689844a91f55107c95e29b957fbe91b866aa6cd621a8888a933ef841c0a,85716ebc5b962a3f754ca4bceb931e6380aea2ac56887a5e0974faaa0cc8d451,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113XC,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,,17,113Xc,113Xc,113Xc,explicit,false,,exercise,Basic exercise (c),Latihan dasar (c),260,264,263,267,8655,8862,9290,9509,3d20482a4f2fc09b9bdfaf43980554ac1dada467a5a4d00712e891df95c2296b,ba909598ed0a7daee5b1e11953f3a0c5d4f2d86907f0cd9646822e68b8d83392,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113XD,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,,18,113Xd,113Xd,113Xd,explicit,false,,exercise,Basic exercise (d),Latihan dasar (d),265,272,268,275,8862,9288,9509,9993,1bd660be0ea352e9e3a5b27f1e3bffc9a42c6eff267aeb417dfdf26c12c66535,392b3cdf5f5ff01511362681f1ec189d7d6d357f69d8ea2cb7eb4e2f9a0b082c,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113XE,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,,19,113Xe,113Xe,113Xe,explicit,false,,exercise,Basic exercise (e),Latihan dasar (e),273,276,276,279,9288,9483,9993,10198,4e9fda1aaac0fa46cd302516072bbcd4982fe1edb865efe3d7f6ce80712e6657,bf56137e6b6578b6c43b0f2fdd89222d8213f468dbb2620a1302d353e929a610,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113XF,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,,20,113Xf,113Xf,113Xf,explicit,false,,exercise,Basic exercise (f),Latihan dasar (f),277,283,280,286,9483,9883,10198,10649,e071cf5284b48b6399621f06468b45e4e54e79ebcbf28b043000039196c338af,00099f240b87586553b3fa69ddff69dbdba7ca4264c35c7f59710ce8600cd2f2,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113XG,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,,21,113Xg,113Xg,113Xg,explicit,false,,exercise,Basic exercise (g),Latihan dasar (g),284,289,287,292,9883,10158,10649,10946,4abc3ededdfe3b1b886112a9a96496dc4f2508c1504258ba2d7497015bfe198f,82f8c13b19ddb8fb39d8af6eb4bbfb63519832c6351e35640b013cd219d0238a,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113XH,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,,22,113Xh,113Xh,113Xh,explicit,false,,exercise,Basic exercise (h),Latihan dasar (h),290,301,293,304,10158,10802,10946,11655,c7e895feb823fb2818261fa76db350f351c832bd4b9fc35fbdba722c9cf52207,7c670b432d7f20821ddbee2e473f3d3abbf5c5b3cd7d86df4d14b126935387e3,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113Y,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,,23,113Y,113Y,113Y,explicit,false,,exercise,Further exercises,Latihan lanjutan,302,309,305,312,10802,11162,11655,12035,be82f4c3e0a74e364770a12c8079850a9544f78920e05cac41a06d9012a1091a,c0f4fa7f89b80ce6ccd10b184a40c76f7e2bf3209343c51659701085a9787531,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113YA,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S113-SEG-113Y,24,113Y,113Ya,113Ya,implicit-subanchor,false,The 113Ya header is commented in source while 113Y prints exercise (a); the implicit ID is restored losslessly.,exercise,Further exercise (a),Latihan lanjutan (a),302,309,305,312,10802,11162,11655,12035,be82f4c3e0a74e364770a12c8079850a9544f78920e05cac41a06d9012a1091a,c0f4fa7f89b80ce6ccd10b184a40c76f7e2bf3209343c51659701085a9787531,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113YB,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,,25,113Yb,113Yb,113Yb,explicit,false,,exercise,Further exercise (b),Latihan lanjutan (b),310,318,313,321,11162,11601,12035,12552,62b8044fcf125c61fd54b49f2a285c64f63a91e3603405528cf63e94d9a3aaf3,fae4a9257ecacfeb36fbc4d9271d4be90b27bf8d6e2d1969964e60a1bccae66c,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113YC,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,,26,113Yc,113Yc,113Yc,explicit,false,,exercise,Further exercise (c),Latihan lanjutan (c),319,325,322,329,11601,11928,12552,12923,52ddf9e312539eaa78692508ac3dd18c0d3e06a7f03adb66f3aefa21f90f8ab2,6623b6072973041ed2c592fb38342406aa2ed9470d40cdcb69d529ac1a4dda40,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113YD,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,,27,113Yd,113Yd,113Yd,explicit,false,,exercise,Further exercise (d),Latihan lanjutan (d),326,338,330,342,11928,12377,12923,13438,2c8576f7b7223d08b46acc6ce8ede78a7778dd1e9206ef8479a740583c6c49d4,784c9bdee859c792b61364bbd799d2027744c39c738e91d5073436b14f6665ec,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113YE,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,,28,113Ye,113Ye,113Ye,explicit,false,,exercise,Further exercise (e),Latihan lanjutan (e),339,343,343,347,12377,12640,13438,13725,bdc2275f09b46adb0fbed4782e254fd7e2b10f828f1c9d7138966259d3a69aa1,49870bac8f17b68bed62ff8caa724c2c97e38e4bc914186df8d03e0666782ad4,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113YF,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,,29,113Yf,113Yf,113Yf,explicit,false,,exercise,Further exercise (f),Latihan lanjutan (f),344,350,348,354,12640,13006,13725,14152,c2d8966b129d19fc06a3c3878e6a89b8a5959d91e11603e3baaf8030889f06e8,dd383c84732336157cfd339788688355e0d845ff0bd71f0c62f33c99f83c6e3f,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113YG,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,,30,113Yg,113Yg,113Yg,explicit,false,,exercise,Further exercise (g),Latihan lanjutan (g),351,371,355,375,13006,13639,14152,14886,74868a5eae80dc54319a5f828735341e5d2eee0c4425270bffac2913b576d400,362aeb80acd4327931923e196866f0ec4678ce5f38754d470c34054864d2686b,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113YH,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,,31,113Yh,113Yh,113Yh,explicit,false,,exercise,Further exercise (h),Latihan lanjutan (h),372,379,376,383,13639,13967,14886,15235,a560447ecc0b17f2358103a195f6efe1cd27b06df3c3cd02677ecddb7e19974a,42d8894a7720a9a61c5dddaa111fdc1e9d50dc9588c6d453cae7abfcd11ddd0d,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113YI,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,,32,113Yi,113Yi,113Yi,explicit,false,The source hypothesis/domain wording has a non-high-confidence editorial ambiguity; source and target wording are retained unaltered and no source correction is asserted.,exercise,Further exercise (i),Latihan lanjutan (i),380,403,384,407,13967,14719,15235,16106,2389303a3b0f4e919dd871ad401fd9ff03bd8b1789720453082c10c971742afe,19b72c3498602386ce1b23de8f6cb096e0aa9f38d407691f3685a27fb4dfd1d6,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113YJ,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,,33,113Yj,113Yj,113Yj,explicit,false,,exercise,Further exercise (j),Latihan lanjutan (j),404,411,408,415,14719,15054,16106,16509,2dd31da15aed3df66edb82df2bb018eb6b8ff667a6b3ac88faccc8184504e65c,ca67d031295e87064cebd0a8e812f7576169e0682d4afb3732a3534111b30ec4,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113YK,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,,34,113Yk,113Yk,113Yk,explicit,false,,exercise,Further exercise (k),Latihan lanjutan (k),412,420,416,424,15054,15463,16509,16946,e2c3ab3eab7b10aad6a41e1da0dc7d867adcdf3c83bcb61739aa9a0959469be9,0dd68733d850627567ea74c9ac17dee35e39e977e6fb651bb93d114f78b9601f,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113-NOTES,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,,35,113,113,113,explicit,false,,endnotes,Notes and comments,Catatan dan komentar,421,441,425,445,15463,16680,16946,18204,5627cc8e32b1bb47d39a447218532f6d4aa99d39724f13c379b26d239873411d,65892c66172147ebe664702322b4f08aadee37aa45ff887e6f45279eb38cc263,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
